timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume
2024-06-11,ETH,Cryptocurrency,3667.85,3673.0,3432.0,3497.33,3497.33,439568.5978
2024-06-11,GOOGL,Stock,176.22000122070312,176.83999633789062,173.77000427246094,176.6199951171875,175.3732452392578,21540600.0
2024-06-11,JPM,Stock,197.91000366210935,197.94000244140625,193.6000061035156,194.3600006103516,186.330810546875,9235300.0
2024-06-11,META,Stock,500.1600036621094,507.6000061035156,498.2699890136719,507.4700012207031,504.0528869628906,9673700.0
2024-06-11,MSFT,Stock,425.4800109863281,432.8200073242188,425.25,432.6799926757813,426.907958984375,14551100.0
2024-06-11,NVDA,Stock,121.7699966430664,122.87000274658205,118.73999786376952,120.91000366210938,120.85173797607422,222551200.0
2024-06-11,SOL,Cryptocurrency,159.04,159.75,145.2,149.31,149.31,3646582.777
2024-06-11,SPY,Stock,534.0700073242188,537.010009765625,532.0499877929688,536.9500122070312,524.1927490234375,36383400.0
2024-06-11,TSLA,Stock,173.9199981689453,174.75,167.41000366210938,170.66000366210938,170.66000366210938,64761900.0
2024-06-11,V,Stock,274.5400085449219,274.8599853515625,272.2200012207031,274.6700134277344,271.111572265625,6244600.0
2024-06-11,XRP,Cryptocurrency,0.4969,0.497,0.4707,0.4802,0.4802,429410619.0
2024-06-12,AAPL,Stock,207.3699951171875,220.1999969482422,206.8999938964844,213.07000732421875,211.43478393554688,198134300.0
2024-06-12,AMZN,Stock,188.0200042724609,188.3500061035156,185.42999267578125,186.88999938964844,186.88999938964844,33984200.0
2024-06-12,BNB,Cryptocurrency,602.5,635.4,591.3,619.4,619.4,454148.661
2024-06-12,BTC,Cryptocurrency,67314.23,69999.0,66905.0,68263.99,68263.99,37175.32356
2024-06-12,ETH,Cryptocurrency,3497.33,3659.01,3462.07,3560.12,3560.12,387043.774
2024-06-12,GOOGL,Stock,178.25,180.41000366210935,176.11000061035156,177.7899932861328,176.53500366210938,27864700.0
2024-06-12,JPM,Stock,196.0,196.72000122070312,191.30999755859372,191.52999877929688,183.61773681640625,12751300.0
2024-06-12,META,Stock,513.989990234375,514.010009765625,504.4700012207031,508.8399963378906,505.4136352539063,11983200.0
