timestamp,asset,asset_type,open,high,low,close,adjusted_close,volume,market_cap
2019-02-22,XRP,Cryptocurrency,0.32064,0.32333,0.31352,0.32105,0.32105,47070036.8,
2019-02-23,XRP,Cryptocurrency,0.32102,0.33395,0.31753,0.33201,0.33201,65573265.4,
2019-02-24,XRP,Cryptocurrency,0.33201,0.34345,0.29371,0.29757,0.29757,168785982.4,
2019-02-25,XRP,Cryptocurrency,0.29757,0.33975,0.29672,0.32731,0.32731,198793053.8,
2019-02-26,XRP,Cryptocurrency,0.3274,0.33502,0.31334,0.31658,0.31658,156768298.4,
2019-02-27,XRP,Cryptocurrency,0.31663,0.31874,0.30076,0.31067,0.31067,86042683.7,
2019-02-28,XRP,Cryptocurrency,0.31054,0.31771,0.30602,0.3139,0.3139,82235972.7,
2019-03-01,XRP,Cryptocurrency,0.31386,0.32354,0.31146,0.31564,0.31564,82928007.7,
2019-03-02,XRP,Cryptocurrency,0.31565,0.31819,0.30993,0.31382,0.31382,49884108.0,
2019-03-03,XRP,Cryptocurrency,0.31389,0.31542,0.308,0.31114,0.31114,35107981.0,
2019-03-04,XRP,Cryptocurrency,0.31115,0.31222,0.29728,0.30207,0.30207,54554165.3,
2019-03-05,XRP,Cryptocurrency,0.30197,0.31787,0.3008,0.31471,0.31471,65812161.6,
2019-03-06,XRP,Cryptocurrency,0.31473,0.32186,0.3095,0.31629,0.31629,69108469.9,
2019-03-07,XRP,Cryptocurrency,0.31628,0.31936,0.3124,0.31311,0.31311,51060315.9,
2019-03-08,XRP,Cryptocurrency,0.31324,0.316,0.305,0.30775,0.30775,52311973.0,
2019-03-09,XRP,Cryptocurrency,0.3078,0.319,0.3068,0.31389,0.31389,60052162.0,
2019-03-10,XRP,Cryptocurrency,0.31395,0.31705,0.30905,0.31289,0.31289,43024192.8,
2019-03-11,XRP,Cryptocurrency,0.31279,0.315,0.30658,0.30992,0.30992,51679569.6,
2019-03-12,XRP,Cryptocurrency,0.30991,0.31204,0.30766,0.31031,0.31031,34008792.9,
2019-03-13,XRP,Cryptocurrency,0.3103,0.32555,0.30733,0.31332,0.31332,78566025.5,
2019-03-14,XRP,Cryptocurrency,0.31345,0.31654,0.30585,0.31131,0.31131,54311189.1,
2019-03-15,XRP,Cryptocurrency,0.31131,0.31678,0.3107,0.31473,0.31473,40022943.7,
2019-03-16,XRP,Cryptocurrency,0.31485,0.323,0.31465,0.31868,0.31868,59414487.2,
2019-03-17,XRP,Cryptocurrency,0.31866,0.31892,0.314,0.3154,0.3154,33510613.2,
2019-03-18,XRP,Cryptocurrency,0.31546,0.32,0.31135,0.31452,0.31452,46830749.7,
2019-03-19,XRP,Cryptocurrency,0.31451,0.3166,0.3125,0.31594,0.31594,37937661.9,
2019-03-20,XRP,Cryptocurrency,0.31581,0.32275,0.3115,0.31779,0.31779,61071284.0,
2019-03-21,XRP,Cryptocurrency,0.3178,0.31915,0.29,0.30965,0.30965,68244170.4,
2019-03-22,XRP,Cryptocurrency,0.30965,0.31262,0.30642,0.31041,0.31041,40997646.8,
2019-03-23,XRP,Cryptocurrency,0.31041,0.31264,0.30883,0.31182,0.31182,35555914.1,
2019-03-24,XRP,Cryptocurrency,0.31174,0.31186,0.30471,0.30787,0.30787,34884060.5,
2019-03-25,XRP,Cryptocurrency,0.30792,0.308,0.3,0.3031,0.3031,47533457.4,
2019-03-26,XRP,Cryptocurrency,0.30296,0.30384,0.294,0.30302,0.30302,45108158.9,
2019-03-27,XRP,Cryptocurrency,0.303,0.31097,0.30055,0.31012,0.31012,55385680.1,
2019-03-28,XRP,Cryptocurrency,0.30986,0.31012,0.30418,0.30604,0.30604,33354763.4,
2019-03-29,XRP,Cryptocurrency,0.30603,0.31042,0.30475,0.30774,0.30774,52565413.4,
2019-03-30,XRP,Cryptocurrency,0.30775,0.31834,0.30687,0.31107,0.31107,66842364.5,
2019-03-31,XRP,Cryptocurrency,0.31092,0.31168,0.30718,0.30889,0.30889,31804560.0,
2019-04-01,XRP,Cryptocurrency,0.30889,0.31455,0.30739,0.31248,0.31248,43573420.6,
2019-04-02,XRP,Cryptocurrency,0.31249,0.35571,0.3115,0.3505,0.3505,254825056.8,
2019-04-03,XRP,Cryptocurrency,0.3505,0.3705,0.32354,0.34022,0.34022,317885933.0,
2019-04-04,XRP,Cryptocurrency,0.34022,0.34669,0.325,0.32996,0.32996,142045982.4,
2019-04-05,XRP,Cryptocurrency,0.32996,0.37999,0.32994,0.3613,0.3613,277642035.5,
2019-04-06,XRP,Cryptocurrency,0.36118,0.36224,0.3461,0.35264,0.35264,127333234.4,
2019-04-07,XRP,Cryptocurrency,0.35267,0.367,0.35041,0.3612,0.3612,110132996.9,
2019-04-08,XRP,Cryptocurrency,0.36149,0.37012,0.34365,0.35568,0.35568,128130260.7,
2019-04-09,XRP,Cryptocurrency,0.35558,0.35574,0.34385,0.34732,0.34732,68738132.8,
2019-04-10,XRP,Cryptocurrency,0.34728,0.3578,0.34608,0.35345,0.35345,75219953.7,
2019-04-11,XRP,Cryptocurrency,0.3535,0.35377,0.3191,0.32705,0.32705,141965465.9,
